indice_tiempo,rem_ipc_nac_var_mensual_t,rem_ipc_nac_var_mensual_t_1,rem_ipc_nac_var_mensual_t_2,rem_ipc_nac_var_mensual_t_3,rem_ipc_nac_var_mensual_t_4,rem_ipc_nac_var_mensual_t_5,rem_ipc_nac_var_mensual_t_6,rem_ipc_nac_var_ia_t_12,rem_ipc__nac_var_ia_t_24,rem_ipc_nac_var_ia_2016,rem_ipc_nac_var_ia_2017,rem_ipc_nac_var_ia_2018,rem_ipc_nac_var_ia_2019,rem_ipc_nac_var_ia_2020,rem_ipc_nac_var_ia_2021,rem_ipc_nac_var_ia_2022,rem_ipc_nac_var_ia_2023,rem_ipc_nac_var_ia_2024,rem_ipc_nac_var_ia_2025,rem_ipc_nac_var_ia_2026,rem_ipc_nac_var_ia_2027,rem_ipc_nac_nucleo_var_mensual_t,rem_ipc_nac_nucleo_var_mensual_t_1,rem_ipc_nac_nucleo_var_mensual_t_2,rem_ipc_nac_nucleo_var_mensual_t_3,rem_ipc_nac_nucleo_var_mensual_t_4,rem_ipc_nac_nucleo_var_mensual_t_5,rem_ipc_nac_nucleo_var_mensual_t_6,rem_ipc_nac_nucleo_var_ia_t_12,rem_ipc__nac_nucleo_var_ia_t_24,rem_ipc_nac_nucleo_var_ia_2017,rem_ipc_nac_nucleo_var_ia_2018,rem_ipc_nac_nucleo_var_ia_2019,rem_ipc_nac_nucleo_var_ia_2020,rem_ipc_nac_nucleo_var_ia_2021,rem_ipc_nac_nucleo_var_ia_2022,rem_ipc_nac_nucleo_var_ia_2023,rem_ipc_nac_nucleo_var_ia_2024,rem_ipc_nac_nucleo_var_ia_2025,rem_ipc_nac_nucleo_var_ia_2026,rem_ipc_nac_nucleo_var_ia_2027,rem_ipc_gba_var_mensual_t_1,rem_ipc_gba_var_mensual_t_2,rem_ipc_gba_var_mensual_t_3,rem_ipc_gba_var_mensual_t_4,rem_ipc_gba_var_mensual_t_5,rem_ipc_gba_var_mensual_t_6,rem_ipc_gba_var_ia_t_12,rem_ipc__gba_var_ia_t_24,rem_ipc_gba_var_ia_2016,rem_ipc_gba_var_ia_2017,rem_ipc_gba_var_ia_2018,rem_ipc_gba_var_ia_2019,rem_ipc_gba_nucleo_var_mensual_t_1,rem_ipc_gba_nucleo_var_mensual_t_2,rem_ipc_gba_nucleo_var_mensual_t_3,rem_ipc_gba_nucleo_var_mensual_t_4,rem_ipc_gba_nucleo_var_mensual_t_5,rem_ipc_gba_nucleo_var_mensual_t_6,rem_ipc_gba_nucleo_var_ia_t_12,rem_ipc__gba_nucleo_var_ia_t_24,rem_ipc_gba_nucleo_var_ia_2016,rem_ipc_gba_nucleo_var_ia_2017,rem_ipc_gba_nucleo_var_ia_2018,rem_ipc_gba_nucleo_var_ia_2019,rem_tasa_politica_var_mensual_t_1,rem_tasa_politica_var_mensual_t_2,rem_tasa_politica_var_mensual_t_3,rem_tasa_politica_var_mensual_t_4,rem_tasa_politica_var_mensual_t_5,rem_tasa_politica_var_mensual_t_6,rem_tasa_politica_var_ia_t_12,rem_tasa_politica_var_ia_2016,rem_tasa_politica_var_ia_2017,rem_tasa_politica_var_ia_2018,rem_tasa_politica_var_ia_2019,rem_tasa_politica_var_ia_2020,rem_tasa_politica_var_ia_2021,rem_tasa_politica_var_ia_2022,rem_tasa_politica_var_ia_2023,rem_tasa_politica_var_ia_2024,rem_tasa_politica_var_ia_2025,rem_tasa_politica_var_ia_2026,rem_tcn_var_mensual_t_1,rem_tcn_var_mensual_t_2,rem_tcn_var_mensual_t_3,rem_tcn_var_mensual_t_4,rem_tcn_var_mensual_t_5,rem_tcn_var_mensual_t_6,rem_tcn_var_ia_t_12,rem_tcn_var_ia_2016,rem_tcn_var_ia_2017,rem_tcn_var_ia_2018,rem_tcn_var_ia_2019,rem_tcn_var_ia_2020,rem_tcn_var_ia_2021,rem_tcn_var_ia_2022,rem_tcn_var_ia_2023,rem_tcn_var_ia_2024,rem_tcn_var_ia_2025,rem_tcn_var_ia_2026,rem_resultado_primario_spnf_var_ia_2016,rem_resultado_primario_spnf_var_ia_2017,rem_resultado_primario_spnf_var_ia_2018,rem_resultado_primario_spnf_var_ia_2019,rem_resultado_primario_spnf_var_ia_2020,rem_resultado_primario_spnf_var_ia_2021,rem_resultado_primario_spnf_var_ia_2022,rem_resultado_primario_spnf_var_ia_2023,rem_resultado_primario_spnf_var_ia_2024,rem_resultado_primario_spnf_var_ia_2025,rem_resultado_primario_spnf_var_ia_2026,rem_pib_var_trimestral_t_menos_1,rem_pib_var_trimestral_t,rem_pib_var_trimestral_t_1,rem_pib_var_trimestral_t_2,rem_pib_var_ia_2016,rem_pib_var_ia_2017,rem_pib_var_ia_2018,rem_pib_var_ia_2019,rem_pib_var_ia_2020,rem_pib_var_ia_2021,rem_pib_var_ia_2022,rem_pib_var_ia_2023,rem_pib_var_ia_2024,rem_pib_var_ia_2025,rem_pib_var_ia_2026,rem_pib_var_ia_2027,rem_expo_mensual_t,rem_expo_mensual_t_1,rem_expo_mensual_t_2,rem_expo_mensual_t_3,rem_expo_mensual_t_4,rem_expo_mensual_t_5,rem_expo_mensual_t_6,rem_expo_anual_2021,rem_expo_anual_2022,rem_expo_anual_2023,rem_expo_anual_2024,rem_expo_anual_2025,rem_impo_mensual_t,rem_impo_mensual_t_1,rem_impo_mensual_t_2,rem_impo_mensual_t_3,rem_impo_mensual_t_4,rem_impo_mensual_t_5,rem_impo_mensual_t_6,rem_impo_anual_2021,rem_impo_anual_2022,rem_impo_anual_2023,rem_impo_anual_2024,rem_impo_anual_2025,rem_desocupacion_t_menos_1,rem_desocupacion_t,rem_desocupacion_t_1,rem_desocupacion_t_2,rem_desocupacion_4t_2021,rem_desocupacion_4t_2022,rem_desocupacion_4t_2023,rem_desocupacion_4t_2024,rem_desocupacion_4t_2025,rem_desocupacion_4t_2026
2016-06-01,,0.022,0.02,0.018,0.016,0.015,0.016,0.215,0.159,0.37,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022000000000000002,0.019,0.0174,0.016,0.015,0.016,0.22485,0.157,0.40299999999999997,0.19,,,,,,,,,,,,,,,0.29,0.28,0.27,0.26,0.2575,0.2535,0.21,0.2535,0.19,,,,,,,,,,15.039999999999997,15.259999999999998,15.5,15.8,15.9,16.1,17.55,16.1,18.7,,,,,,,,,,-350.6,-340.125,,,,,,,,,,,,,,-0.013999999999999999,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,0.02,0.018,0.017,0.017,0.018,0.018,0.217,0.16,0.386,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.019,0.017,0.016,0.018,0.018,0.222,0.16,0.42,0.2,,,,,,,,,,,,,,,0.29,0.28,0.27,0.2625,0.255,0.25,0.22,0.255,0.2,,,,,,,,,,15.21,15.45,15.7,15.960000000000003,16.15,16.34,17.725,16.15,18.7,,,,,,,,,,-355.0,-372.5,,,,,,,,,,,,,,-0.015,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,0.016,0.016,0.017,0.016,0.017,0.015,0.219,0.16,0.377,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.017,0.018,0.016,0.018,0.016,0.218,0.16,0.41,0.198,,,0.017,0.016,0.015,0.015,0.015,0.015,0.199,0.151,0.35,0.179,0.0,,0.27,0.26,0.255,0.25,0.245,0.24,0.215,0.25,0.2,,,,,,,,,,15.299999999999999,15.5,15.75,16.0,16.22,16.475,17.75,16.0,18.5,,,,,,,,,,-375.0,-410.0,,,,,,,,,,,,,,-0.015,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,0.017,0.017,0.016,0.017,0.015,0.016,0.211,0.154,0.365,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.017,0.016,0.017,0.015,0.017,0.213,0.154,0.396,0.2,,,0.015,0.015,0.015,0.015,0.015,0.015,0.19,0.14,0.34,0.177,0.0,,0.26,0.2525,0.24775,0.24,0.2375,0.23399999999999999,0.2125,0.24775,0.2,,,,,,,,,,15.5,15.765,16.0,16.2,16.41,16.58,17.8,16.0,18.4,,,,,,,,,,-378.0,-428.78,,,,,,,,,,,,,,-0.017,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,0.016,0.015,0.017,0.015,0.016,0.016,0.19399999999999998,0.149,0.366,0.192,0.143,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.016,0.017,0.015,0.016,0.017,0.198,0.143,0.394,0.197,0.148,,0.015,0.015,0.015,0.014,0.014,0.014,0.18,0.131,0.34,0.174,0.13,,0.26,0.251,0.23600000000000002,0.2339,0.23,0.225,0.19954999999999998,0.251,0.19,0.15,,,,,,,,,15.43,15.7,15.960000000000003,16.2,16.4,16.57,18.0,15.7,18.23,20.7,,,,,,,,,-379.534999999999,-430.0,-410.0,,,,,,,,,,0.01,0.013999999999999999,,-0.02,0.032,0.033,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,0.016,0.017,0.015,0.015,0.017,0.014,0.2,0.154,0.371,0.193,0.14,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.017,0.015,0.017,0.018,0.014,0.205,0.15,0.4,0.202,0.146,,0.015,0.015,0.015,0.015,0.014,0.014,0.184,0.131,0.342,0.18,0.13,,0.24,0.2325,0.2275,0.22,0.213,0.21,0.1875,0.24,0.1825,0.14,,,,,,,,,15.8,16.07,16.3,16.45,16.63,16.83,18.3,15.8,18.295,20.82,,,,,,,,,-385.0,-441.8,-430.0,,,,,,,,,,0.003,0.012,,-0.023,0.03,0.032,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,0.017,0.015,0.016,0.017,0.013999999999999999,0.015,0.196,0.14,,0.196,0.14,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.016,0.017,0.018000000000000002,0.015,0.0149,0.21,0.149,,0.21,0.149,0.097,0.015,0.015,0.015,0.015,0.014,0.014,0.184,0.133,,0.184,0.133,0.09,0.2375,0.23,0.22725,0.22,0.215,0.21100000000000002,0.18774999999999997,,0.18774999999999997,0.141,,,,,,,,,16.055,16.3,16.455,16.61,16.8,17.0,18.4949999999999,,18.4949999999999,21.02,,,,,,,,,,-450.395,-424.405,,,,,,,,,,,0.010067819999999998,0.015,,0.03,0.033,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,0.017,0.016,0.016,0.015,0.015,0.015,0.197,0.14,,0.2,0.14,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.017,0.018,0.015,0.015,0.015,0.204,0.141,,0.208,0.146,0.096,0.015,0.016,0.015,0.015,0.014,0.015,0.18,0.134,,0.184,0.13,0.09,0.2425,0.23875,0.235,0.225,0.22,0.2175,0.19175,,0.2,0.15,,,,,,,,,16.16,16.35,16.52,16.7,16.86,17.09,18.6,,18.395,21.0,,,,,,,,,,-440.0,-429.975,,,,,,,,,,0.011000000000000001,0.013,,,0.03,0.031,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,0.017,0.018,0.016,0.015,0.015,0.014,0.195,0.131,,0.201,0.14,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.02,0.015,0.015,0.015,0.014,0.195,0.134,,0.208,0.149,0.095,0.015,0.015,0.015,0.015,0.014,0.014,0.172,0.122,,0.185,0.131,0.087,0.2475,0.2425,0.2375,0.2275,0.2225,0.21625,0.19175,,0.2,0.1525,,,,,,,,,15.9,16.0,16.21,16.4,16.6,16.8,18.3,,18.0,20.45,,,,,,,,,,-430.0,-410.0,,,,,,,,,,0.011000000000000001,0.013,,,0.03,0.032,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,0.018000000000000002,0.01575,0.014950000000000001,0.014499999999999999,0.013000000000000001,0.013999999999999999,0.184,0.13,,0.203,0.14,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.016,0.015,0.015,0.013999999999999999,0.013999999999999999,0.189,0.134,,0.212,0.15,0.103,0.015,0.015,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013000000000000001,0.173,0.122,,0.187,0.13,0.1,0.2475,0.2425,0.2375,0.23,0.225,0.22,0.19,,0.2,0.155,,,,,,,,,15.61,15.82,16.01,16.29,16.51,16.8,18.39,,17.75,20.11,,,,,,,,,,-430.0,-424.0,,,,,,,,,,,0.012,0.012,,0.027999999999999997,0.0315,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,0.016,0.014499999999999999,0.0147,0.013600000000000001,0.013,0.013000000000000001,0.17509999999999998,0.13,,0.205,0.14,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.015,0.015,0.013600000000000001,0.013000000000000001,0.013999999999999999,0.179,0.127,,0.21,0.146,0.1,0.015,0.014,0.014,0.014,0.013,0.012,0.162,0.119,,0.19,0.13,0.09,0.2621,0.253,0.245,0.24,0.23,0.225,0.2,,0.215,0.16,,,,,,,,,15.6,15.8,16.1,16.37,16.67,16.9,18.3149999999999,,17.595,20.0,,,,,,,,,,-429.4,-423.44,,,,,,,,,,0.013000000000000001,0.012,,,0.026965470305895068,0.03,0.033674512393941855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
